id,sign,title,summary,intro,introQuote,detail,thumbnail
11,Sign 11,Sense of Safety,Hyperawareness of perceived public security/observed public security,How can we eliminate the anxiety we have uncovered?,Knowledge and perception are sufficiently enhanced for us to be able to be confdent of our own safety Public security "perceived public security' that people feel or sense subjectively is getting worse.,"Anticrime facilities such as surveillance cameras are widespread among households, and anticrime robots for the household are expected to play a part in the future. In the local area, the ""police box"" used to function as a visible security channel for the area, but local convenience stores function as an anticrime base these days. The channels are diversifed. There is also a movement toward reconstructing the trust relationship of local residents that appears to be fading these days, and to protect the security of the area through joint efforts by residents. Many anticrime volunteer groups are formed and they carry out local patrols. This sort of security DIY is gaining momentum, but on the other hand, people feel anxiety toward the ""surveillance society"", so it is necessary to deliberate on this autonomy carefully in the future in order for them to agree to this.",sense-of-safe.jpg
12,Sign 12,Borderless Medical,Eliminating the borders for medical services,"Anytime, anywhere,
personal health care just for me",To gain "my one and only" healthy life in the world.,"There is a growing shortage in the number of healthcare personnel due to the worldwide increase in population and aging of the population, so there will be a more active exchange of human resources across country borders. Therefore, the preparations for accepting foreign workers will be accelerated between countries. Moreover, it is expected that there will be infrastructure development to promote and enrich the functionality of healthcare services for remote diagnosis and treatment. As one usage example for this sort of activity, a familiar place such as a convenience store has the potential to become a channel for medical care provision. On the other hand, construction plans for international medical towns are currently being promoted in various countries, so patients will be able to select medical treatment or plastic surgery services more suited to their own needs from all over the world. Along with this trend, the preparation for accepting patients between countries will be promoted, and the demand for a general coordination service for necessary procedures including medical systems, insurance and inpatient treatment will probably increase.",borderless-medical.jpg
13,Sign 13,The Right to Mobility,Secure and convenient new mobility,,,right-to-mobility.jpg,right-to-mobility.jpg
14,Sign 14,Power of name,Change in value by naming,,,power-of-name.jpg,power-of-name.jpg
15,Sign 15,Civic Literacy,The need for social literacy technology,,,civic-literacy.jpg,civic-literacy.jpg
16,Sign 16,Civic Enducation,Promotion of education to improve regional power,,,,civic-education.jpg
17,Sign 17,Post Price,Diversification of remunerative value,,,,post-price.jpg
18,Sign 18,Hospitality Crisis,Limitation of services,,,,hospitality-crisis.jpg
19,Sign 19,Overdiligent,Necessity for comprehensive worker care,,,,overdiligent.jpg
20,Sign 20,NEET to go,Transition of NEET population,,,,neet-to-go.jpg
21,Sign 21,Global Empowerment,Necessity for international human resources,,,,global-empowerment.jpg
22,Sign 22,Singleship,Single person safety net,,,,singleship.jpg
23,Sign 23,Wishloops,Diversification of last wishes,,,,wishloops.jpg
24,Sign 24,Model of Family,Diversification of the concept of marriage/concept of family,,,,model-of-family.jpg
25,Sign 25,Missing Reality,Ambiguity in boundaries of awareness in communication,,,,missing-reality.jpg
